r,t,y,AccumulatedNewCapacity
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
"Greece","GEOPWR_M",2030,0
"Greece","GEOPWR_M",2031,0
"Greece","GEOPWR_M",2032,0
"Greece","GEOPWR_M",2033,0
"Greece","GEOPWR_M",2034,0
"Greece","GEOPWR_M",2035,0
"Greece","GEOPWR_M",2036,0
"Greece","GEOPWR_M",2037,0
"Greece","GEOPWR_M",2038,0
"Greece","GEOPWR_M",2039,0
"Greece","GEOPWR_M",2040,0
"Greece","GEOPWR_M",2041,0
"Greece","GEOPWR_M",2042,0
"Greece","GEOPWR_M",2043,0
"Greece","GEOPWR_M",2044,0
"Greece","GEOPWR_M",2045,0
"Greece","GEOPWR_M",2046,0
"Greece","GEOPWR_M",2047,0
"Greece","GEOPWR_M",2048,0.25
"Greece","GEOPWR_M",2049,0.5
"Greece","GEOPWR_M",2050,0.5
"Greece","GRBM00I00",2019,0
"Greece","GRBM00I00",2020,0
"Greece","GRBM00I00",2021,0
"Greece","GRBM00I00",2022,0
"Greece","GRBM00I00",2023,0
"Greece","GRBM00I00",2024,0
"Greece","GRBM00I00",2025,0
"Greece","GRBM00I00",2026,0
"Greece","GRBM00I00",2027,0
"Greece","GRBM00I00",2028,0
"Greece","GRBM00I00",2029,0
"Greece","GRBM00I00",2030,0
"Greece","GRBM00I00",2031,0
"Greece","GRBM00I00",2032,0
"Greece","GRBM00I00",2033,0
"Greece","GRBM00I00",2034,0
"Greece","GRBM00I00",2035,0
"Greece","GRBM00I00",2036,0
"Greece","GRBM00I00",2037,0
"Greece","GRBM00I00",2038,0
"Greece","GRBM00I00",2039,0
"Greece","GRBM00I00",2040,0
"Greece","GRBM00I00",2041,0
"Greece","GRBM00I00",2042,0
"Greece","GRBM00I00",2043,0
"Greece","GRBM00I00",2044,0
"Greece","GRBM00I00",2045,0
"Greece","GRBM00I00",2046,0
"Greece","GRBM00I00",2047,0
"Greece","GRBM00I00",2048,0
"Greece","GRBM00I00",2049,0
"Greece","GRBM00I00",2050,0
"Greece","GRBM00X00",2019,4.47529142016
"Greece","GRBM00X00",2020,4.98243949632
"Greece","GRBM00X00",2021,5.4779734944
"Greece","GRBM00X00",2022,16.259709312
"Greece","GRBM00X00",2023,26.809163568
"Greece","GRBM00X00",2024,37.1263362624
"Greece","GRBM00X00",2025,37.1263362624
"Greece","GRBM00X00",2026,37.1263362624
"Greece","GRBM00X00",2027,46.165960368
"Greece","GRBM00X00",2028,46.165960368
"Greece","GRBM00X00",2029,46.165960368
"Greece","GRBM00X00",2030,46.165960368
"Greece","GRBM00X00",2031,46.165960368
"Greece","GRBM00X00",2032,46.165960368
"Greece","GRBM00X00",2033,54.62918208
"Greece","GRBM00X00",2034,64.56176064
"Greece","GRBM00X00",2035,74.2010544
"Greece","GRBM00X00",2036,74.2010544
"Greece","GRBM00X00",2037,74.2010544
"Greece","GRBM00X00",2038,74.2010544
"Greece","GRBM00X00",2039,74.2010544
"Greece","GRBM00X00",2040,74.2010544
"Greece","GRBM00X00",2041,74.2010544
"Greece","GRBM00X00",2042,74.2010544
"Greece","GRBM00X00",2043,74.2010544
"Greece","GRBM00X00",2044,74.2010544
"Greece","GRBM00X00",2045,74.2010544
"Greece","GRBM00X00",2046,74.2010544
"Greece","GRBM00X00",2047,74.2010544
"Greece","GRBM00X00",2048,74.2010544
"Greece","GRBM00X00",2049,74.2010544
"Greece","GRBM00X00",2050,74.2010544
"Greece","GRCO00I00",2019,0
"Greece","GRCO00I00",2020,0
"Greece","GRCO00I00",2021,53.2285776065939
"Greece","GRCO00I00",2022,53.2285776065939
"Greece","GRCO00I00",2023,53.2285776065939
"Greece","GRCO00I00",2024,53.2285776065939
"Greece","GRCO00I00",2025,53.2285776065939
"Greece","GRCO00I00",2026,53.2285776065939
"Greece","GRCO00I00",2027,53.2285776065939
"Greece","GRCO00I00",2028,53.2285776065939
"Greece","GRCO00I00",2029,53.2285776065939
"Greece","GRCO00I00",2030,53.2285776065939
"Greece","GRCO00I00",2031,53.2285776065939
"Greece","GRCO00I00",2032,53.2285776065939
"Greece","GRCO00I00",2033,53.2285776065939
"Greece","GRCO00I00",2034,53.2285776065939
"Greece","GRCO00I00",2035,53.2285776065939
"Greece","GRCO00I00",2036,53.2285776065939
"Greece","GRCO00I00",2037,53.2285776065939
"Greece","GRCO00I00",2038,53.2285776065939
"Greece","GRCO00I00",2039,53.2285776065939
"Greece","GRCO00I00",2040,53.2285776065939
"Greece","GRCO00I00",2041,53.2285776065939
"Greece","GRCO00I00",2042,53.2285776065939
"Greece","GRCO00I00",2043,53.2285776065939
"Greece","GRCO00I00",2044,53.2285776065939
"Greece","GRCO00I00",2045,53.2285776065939
"Greece","GRCO00I00",2046,53.2285776065939
"Greece","GRCO00I00",2047,53.2285776065939
"Greece","GRCO00I00",2048,53.2285776065939
"Greece","GRCO00I00",2049,53.2285776065939
"Greece","GRCO00I00",2050,53.2285776065939
"Greece","GRCO00X00",2019,70.277163752359
"Greece","GRCO00X00",2020,70.277163752359
"Greece","GRCO00X00",2021,70.277163752359
"Greece","GRCO00X00",2022,70.277163752359
"Greece","GRCO00X00",2023,70.277163752359
"Greece","GRCO00X00",2024,70.277163752359
"Greece","GRCO00X00",2025,70.277163752359
"Greece","GRCO00X00",2026,70.277163752359
"Greece","GRCO00X00",2027,70.277163752359
"Greece","GRCO00X00",2028,70.277163752359
"Greece","GRCO00X00",2029,70.277163752359
"Greece","GRCO00X00",2030,70.277163752359
"Greece","GRCO00X00",2031,70.277163752359
"Greece","GRCO00X00",2032,70.277163752359
"Greece","GRCO00X00",2033,70.277163752359
"Greece","GRCO00X00",2034,70.277163752359
"Greece","GRCO00X00",2035,70.277163752359
"Greece","GRCO00X00",2036,70.277163752359
"Greece","GRCO00X00",2037,70.277163752359
"Greece","GRCO00X00",2038,70.277163752359
"Greece","GRCO00X00",2039,70.277163752359
"Greece","GRCO00X00",2040,70.277163752359
"Greece","GRCO00X00",2041,70.277163752359
"Greece","GRCO00X00",2042,70.277163752359
"Greece","GRCO00X00",2043,70.277163752359
"Greece","GRCO00X00",2044,70.277163752359
"Greece","GRCO00X00",2045,70.277163752359
"Greece","GRCO00X00",2046,70.277163752359
"Greece","GRCO00X00",2047,70.277163752359
"Greece","GRCO00X00",2048,70.277163752359
"Greece","GRCO00X00",2049,70.277163752359
"Greece","GRCO00X00",2050,70.277163752359
"Greece","GRELALBP0",2019,0
"Greece","GRELALBP0",2020,0
"Greece","GRELALBP0",2021,0
"Greece","GRELALBP0",2022,0
"Greece","GRELALBP0",2023,0
"Greece","GRELALBP0",2024,0
"Greece","GRELALBP0",2025,0
"Greece","GRELALBP0",2026,0
"Greece","GRELALBP0",2027,0
"Greece","GRELALBP0",2028,0
"Greece","GRELALBP0",2029,0
"Greece","GRELALBP0",2030,0
"Greece","GRELALBP0",2031,0
"Greece","GRELALBP0",2032,0
"Greece","GRELALBP0",2033,0
"Greece","GRELALBP0",2034,0
"Greece","GRELALBP0",2035,0
"Greece","GRELALBP0",2036,0
"Greece","GRELALBP0",2037,0
"Greece","GRELALBP0",2038,0
"Greece","GRELALBP0",2039,0
"Greece","GRELALBP0",2040,0
"Greece","GRELALBP0",2041,0
"Greece","GRELALBP0",2042,0
"Greece","GRELALBP0",2043,0
"Greece","GRELALBP0",2044,0
"Greece","GRELALBP0",2045,0
"Greece","GRELALBP0",2046,0
"Greece","GRELALBP0",2047,0
"Greece","GRELALBP0",2048,0
"Greece","GRELALBP0",2049,0
"Greece","GRELALBP0",2050,0
"Greece","GRHF00I00",2019,12.6929292929294
"Greece","GRHF00I00",2020,12.6929292929294
"Greece","GRHF00I00",2021,12.6929292929294
"Greece","GRHF00I00",2022,12.6929292929294
"Greece","GRHF00I00",2023,12.6929292929294
"Greece","GRHF00I00",2024,12.6929292929294
"Greece","GRHF00I00",2025,12.6929292929294
"Greece","GRHF00I00",2026,12.6929292929294
"Greece","GRHF00I00",2027,12.6929292929294
"Greece","GRHF00I00",2028,12.6929292929294
"Greece","GRHF00I00",2029,12.6929292929294
"Greece","GRHF00I00",2030,12.6929292929294
"Greece","GRHF00I00",2031,12.6929292929294
"Greece","GRHF00I00",2032,12.6929292929294
"Greece","GRHF00I00",2033,12.6929292929294
"Greece","GRHF00I00",2034,12.6929292929294
"Greece","GRHF00I00",2035,12.6929292929294
"Greece","GRHF00I00",2036,12.6929292929294
"Greece","GRHF00I00",2037,12.6929292929294
"Greece","GRHF00I00",2038,12.6929292929294
"Greece","GRHF00I00",2039,12.6929292929294
"Greece","GRHF00I00",2040,12.6929292929294
"Greece","GRHF00I00",2041,12.6929292929294
"Greece","GRHF00I00",2042,12.6929292929294
"Greece","GRHF00I00",2043,12.6929292929294
"Greece","GRHF00I00",2044,12.6929292929294
"Greece","GRHF00I00",2045,12.6929292929294
"Greece","GRHF00I00",2046,12.6929292929294
"Greece","GRHF00I00",2047,12.6929292929294
"Greece","GRHF00I00",2048,12.6929292929294
"Greece","GRHF00I00",2049,12.6929292929294
"Greece","GRHF00I00",2050,12.6929292929294
"Greece","GRMBACKSTOP",2019,80.3225376
"Greece","GRMBACKSTOP",2020,82.9080928
"Greece","GRMBACKSTOP",2021,85.2792032
"Greece","GRMBACKSTOP",2022,85.2792032
"Greece","GRMBACKSTOP",2023,85.2792032
"Greece","GRMBACKSTOP",2024,85.2792032
"Greece","GRMBACKSTOP",2025,85.2792032
"Greece","GRMBACKSTOP",2026,85.2792032
"Greece","GRMBACKSTOP",2027,85.2792032
"Greece","GRMBACKSTOP",2028,85.2792032
"Greece","GRMBACKSTOP",2029,85.2792032
"Greece","GRMBACKSTOP",2030,85.2792032
"Greece","GRMBACKSTOP",2031,85.2792032
"Greece","GRMBACKSTOP",2032,85.2792032
"Greece","GRMBACKSTOP",2033,85.2792032
"Greece","GRMBACKSTOP",2034,85.2792032
"Greece","GRMBACKSTOP",2035,85.2792032
"Greece","GRMBACKSTOP",2036,85.2792032
"Greece","GRMBACKSTOP",2037,85.2792032
"Greece","GRMBACKSTOP",2038,85.2792032
"Greece","GRMBACKSTOP",2039,85.2792032
"Greece","GRMBACKSTOP",2040,85.2792032
"Greece","GRMBACKSTOP",2041,85.2792032
"Greece","GRMBACKSTOP",2042,85.2792032
"Greece","GRMBACKSTOP",2043,85.2792032
"Greece","GRMBACKSTOP",2044,85.2792032
"Greece","GRMBACKSTOP",2045,85.2792032
"Greece","GRMBACKSTOP",2046,85.2792032
"Greece","GRMBACKSTOP",2047,85.2792032
"Greece","GRMBACKSTOP",2048,85.2792032
"Greece","GRMBACKSTOP",2049,85.2792032
"Greece","GRMBACKSTOP",2050,85.2792032
"Greece","GRMBMCHP00",2019,0
"Greece","GRMBMCHP00",2020,0.01
"Greece","GRMBMCHP00",2021,0.02
"Greece","GRMBMCHP00",2022,0.22
"Greece","GRMBMCHP00",2023,0.42
"Greece","GRMBMCHP00",2024,0.62
"Greece","GRMBMCHP00",2025,0.62
"Greece","GRMBMCHP00",2026,0.62
"Greece","GRMBMCHP00",2027,0.82
"Greece","GRMBMCHP00",2028,0.82
"Greece","GRMBMCHP00",2029,0.82
"Greece","GRMBMCHP00",2030,0.82
"Greece","GRMBMCHP00",2031,0.82
"Greece","GRMBMCHP00",2032,0.82
"Greece","GRMBMCHP00",2033,1.02
"Greece","GRMBMCHP00",2034,1.22
"Greece","GRMBMCHP00",2035,1.42
"Greece","GRMBMCHP00",2036,1.42
"Greece","GRMBMCHP00",2037,1.42
"Greece","GRMBMCHP00",2038,1.42
"Greece","GRMBMCHP00",2039,1.42
"Greece","GRMBMCHP00",2040,1.42
"Greece","GRMBMCHP00",2041,1.42
"Greece","GRMBMCHP00",2042,1.42
"Greece","GRMBMCHP00",2043,1.42
"Greece","GRMBMCHP00",2044,1.42
"Greece","GRMBMCHP00",2045,1.42
"Greece","GRMBMCHP00",2046,1.42
"Greece","GRMBMCHP00",2047,1.42
"Greece","GRMBMCHP00",2048,1.42
"Greece","GRMBMCHP00",2049,1.42
"Greece","GRMBMCHP00",2050,1.42
"Greece","GRMCOSCP00",2019,0
"Greece","GRMCOSCP00",2020,0
"Greece","GRMCOSCP00",2021,0
"Greece","GRMCOSCP00",2022,0
"Greece","GRMCOSCP00",2023,0
"Greece","GRMCOSCP00",2024,0
"Greece","GRMCOSCP00",2025,0
"Greece","GRMCOSCP00",2026,0
"Greece","GRMCOSCP00",2027,0
"Greece","GRMCOSCP00",2028,0
"Greece","GRMCOSCP00",2029,0
"Greece","GRMCOSCP00",2030,0
"Greece","GRMCOSCP00",2031,0
"Greece","GRMCOSCP00",2032,0
"Greece","GRMCOSCP00",2033,0
"Greece","GRMCOSCP00",2034,0
"Greece","GRMCOSCP00",2035,0
"Greece","GRMCOSCP00",2036,0
"Greece","GRMCOSCP00",2037,0
"Greece","GRMCOSCP00",2038,0
"Greece","GRMCOSCP00",2039,0
"Greece","GRMCOSCP00",2040,0
"Greece","GRMCOSCP00",2041,0
"Greece","GRMCOSCP00",2042,0
"Greece","GRMCOSCP00",2043,0
"Greece","GRMCOSCP00",2044,0
"Greece","GRMCOSCP00",2045,0
"Greece","GRMCOSCP00",2046,0
"Greece","GRMCOSCP00",2047,0
"Greece","GRMCOSCP00",2048,0
"Greece","GRMCOSCP00",2049,0
"Greece","GRMCOSCP00",2050,0
"Greece","GRMCOSCP00_Ptol",2019,0
"Greece","GRMCOSCP00_Ptol",2020,0
"Greece","GRMCOSCP00_Ptol",2021,0
"Greece","GRMCOSCP00_Ptol",2022,0
"Greece","GRMCOSCP00_Ptol",2023,0.7
"Greece","GRMCOSCP00_Ptol",2024,0.7
"Greece","GRMCOSCP00_Ptol",2025,0.7
"Greece","GRMCOSCP00_Ptol",2026,0.7
"Greece","GRMCOSCP00_Ptol",2027,0.7
"Greece","GRMCOSCP00_Ptol",2028,0.7
"Greece","GRMCOSCP00_Ptol",2029,0
"Greece","GRMCOSCP00_Ptol",2030,0
"Greece","GRMCOSCP00_Ptol",2031,0
"Greece","GRMCOSCP00_Ptol",2032,0
"Greece","GRMCOSCP00_Ptol",2033,0
"Greece","GRMCOSCP00_Ptol",2034,0
"Greece","GRMCOSCP00_Ptol",2035,0
"Greece","GRMCOSCP00_Ptol",2036,0
"Greece","GRMCOSCP00_Ptol",2037,0
"Greece","GRMCOSCP00_Ptol",2038,0
"Greece","GRMCOSCP00_Ptol",2039,0
"Greece","GRMCOSCP00_Ptol",2040,0
"Greece","GRMCOSCP00_Ptol",2041,0
"Greece","GRMCOSCP00_Ptol",2042,0
"Greece","GRMCOSCP00_Ptol",2043,0
"Greece","GRMCOSCP00_Ptol",2044,0
"Greece","GRMCOSCP00_Ptol",2045,0
"Greece","GRMCOSCP00_Ptol",2046,0
"Greece","GRMCOSCP00_Ptol",2047,0
"Greece","GRMCOSCP00_Ptol",2048,0
"Greece","GRMCOSCP00_Ptol",2049,0
"Greece","GRMCOSCP00_Ptol",2050,0
"Greece","GRMEL00T00",2019,0
"Greece","GRMEL00T00",2020,0
"Greece","GRMEL00T00",2021,0
"Greece","GRMEL00T00",2022,2.99170317428805
"Greece","GRMEL00T00",2023,2.9958199324995
"Greece","GRMEL00T00",2024,2.99993669071096
"Greece","GRMEL00T00",2025,3.00405344892242
"Greece","GRMEL00T00",2026,3.00817020713388
"Greece","GRMEL00T00",2027,3.01228696534533
"Greece","GRMEL00T00",2028,3.01640372355679
"Greece","GRMEL00T00",2029,3.06877451304789
"Greece","GRMEL00T00",2030,3.07289127125935
"Greece","GRMEL00T00",2031,3.1324428120795
"Greece","GRMEL00T00",2032,3.19199435289965
"Greece","GRMEL00T00",2033,3.25154589371981
"Greece","GRMEL00T00",2034,3.3593514658196
"Greece","GRMEL00T00",2035,3.41890300663975
"Greece","GRMEL00T00",2036,3.47845454745991
"Greece","GRMEL00T00",2037,3.53800608828006
"Greece","GRMEL00T00",2038,3.64581166037985
"Greece","GRMEL00T00",2039,3.70536320120001
"Greece","GRMEL00T00",2040,3.76491474202016
"Greece","GRMEL00T00",2041,3.87272031411995
"Greece","GRMEL00T00",2042,3.93227185494011
"Greece","GRMEL00T00",2043,3.99921470010809
"Greece","GRMEL00T00",2044,4.2404848565063
"Greece","GRMEL00T00",2045,4.33699291906558
"Greece","GRMEL00T00",2046,4.43350098162486
"Greece","GRMEL00T00",2047,4.53000904418415
"Greece","GRMEL00T00",2048,4.67477113802307
"Greece","GRMEL00T00",2049,4.88584441797366
"Greece","GRMEL00T00",2050,4.95278726314164
"Greece","GRMHFSTP00",2019,0
"Greece","GRMHFSTP00",2020,0
"Greece","GRMHFSTP00",2021,0
"Greece","GRMHFSTP00",2022,0
"Greece","GRMHFSTP00",2023,0
"Greece","GRMHFSTP00",2024,0
"Greece","GRMHFSTP00",2025,0
"Greece","GRMHFSTP00",2026,0
"Greece","GRMHFSTP00",2027,0
"Greece","GRMHFSTP00",2028,0
"Greece","GRMHFSTP00",2029,0
"Greece","GRMHFSTP00",2030,0
"Greece","GRMHFSTP00",2031,0
"Greece","GRMHFSTP00",2032,0
"Greece","GRMHFSTP00",2033,0
"Greece","GRMHFSTP00",2034,0
"Greece","GRMHFSTP00",2035,0
"Greece","GRMHFSTP00",2036,0
"Greece","GRMHFSTP00",2037,0
"Greece","GRMHFSTP00",2038,0
"Greece","GRMHFSTP00",2039,0
"Greece","GRMHFSTP00",2040,0
"Greece","GRMHFSTP00",2041,0
"Greece","GRMHFSTP00",2042,0
"Greece","GRMHFSTP00",2043,0
"Greece","GRMHFSTP00",2044,0
"Greece","GRMHFSTP00",2045,0
"Greece","GRMHFSTP00",2046,0
"Greece","GRMHFSTP00",2047,0
"Greece","GRMHFSTP00",2048,0
"Greece","GRMHFSTP00",2049,0
"Greece","GRMHFSTP00",2050,0
"Greece","GRMHYDMS01",2019,0
"Greece","GRMHYDMS01",2020,0.01
"Greece","GRMHYDMS01",2021,0.02
"Greece","GRMHYDMS01",2022,0.02
"Greece","GRMHYDMS01",2023,0.02
"Greece","GRMHYDMS01",2024,0.02
"Greece","GRMHYDMS01",2025,0.02
"Greece","GRMHYDMS01",2026,0.02
"Greece","GRMHYDMS01",2027,0.02
"Greece","GRMHYDMS01",2028,0.02
"Greece","GRMHYDMS01",2029,0.02
"Greece","GRMHYDMS01",2030,0.02
"Greece","GRMHYDMS01",2031,0.02
"Greece","GRMHYDMS01",2032,0.02
"Greece","GRMHYDMS01",2033,0.02
"Greece","GRMHYDMS01",2034,0.02
"Greece","GRMHYDMS01",2035,0.02
"Greece","GRMHYDMS01",2036,0.02
"Greece","GRMHYDMS01",2037,0.02
"Greece","GRMHYDMS01",2038,0.02
"Greece","GRMHYDMS01",2039,0.02
"Greece","GRMHYDMS01",2040,0.02
"Greece","GRMHYDMS01",2041,0.02
"Greece","GRMHYDMS01",2042,0.02
"Greece","GRMHYDMS01",2043,0.202720680115935
"Greece","GRMHYDMS01",2044,0.452720680115935
"Greece","GRMHYDMS01",2045,0.702720680115935
"Greece","GRMHYDMS01",2046,0.952720680115935
"Greece","GRMHYDMS01",2047,1.20272068011594
"Greece","GRMHYDMS01",2048,1.45272068011594
"Greece","GRMHYDMS01",2049,1.70272068011594
"Greece","GRMHYDMS01",2050,1.86
"Greece","GRMHYDMS02",2019,0
"Greece","GRMHYDMS02",2020,0
"Greece","GRMHYDMS02",2021,0
"Greece","GRMHYDMS02",2022,0
"Greece","GRMHYDMS02",2023,0
"Greece","GRMHYDMS02",2024,0
"Greece","GRMHYDMS02",2025,0
"Greece","GRMHYDMS02",2026,0
"Greece","GRMHYDMS02",2027,0
"Greece","GRMHYDMS02",2028,0
"Greece","GRMHYDMS02",2029,0
"Greece","GRMHYDMS02",2030,0
"Greece","GRMHYDMS02",2031,0
"Greece","GRMHYDMS02",2032,0
"Greece","GRMHYDMS02",2033,0
"Greece","GRMHYDMS02",2034,0
"Greece","GRMHYDMS02",2035,0
"Greece","GRMHYDMS02",2036,0
"Greece","GRMHYDMS02",2037,0
"Greece","GRMHYDMS02",2038,0
"Greece","GRMHYDMS02",2039,0
"Greece","GRMHYDMS02",2040,0
"Greece","GRMHYDMS02",2041,0
"Greece","GRMHYDMS02",2042,0
"Greece","GRMHYDMS02",2043,0
"Greece","GRMHYDMS02",2044,0
"Greece","GRMHYDMS02",2045,0
"Greece","GRMHYDMS02",2046,0
"Greece","GRMHYDMS02",2047,0
"Greece","GRMHYDMS02",2048,0
"Greece","GRMHYDMS02",2049,0
"Greece","GRMHYDMS02",2050,0
"Greece","GRMHYDMS03",2019,0
"Greece","GRMHYDMS03",2020,0
"Greece","GRMHYDMS03",2021,0
"Greece","GRMHYDMS03",2022,0
"Greece","GRMHYDMS03",2023,0
"Greece","GRMHYDMS03",2024,0
"Greece","GRMHYDMS03",2025,0
"Greece","GRMHYDMS03",2026,0
"Greece","GRMHYDMS03",2027,0
"Greece","GRMHYDMS03",2028,0
"Greece","GRMHYDMS03",2029,0
"Greece","GRMHYDMS03",2030,0
"Greece","GRMHYDMS03",2031,0
"Greece","GRMHYDMS03",2032,0
"Greece","GRMHYDMS03",2033,0
"Greece","GRMHYDMS03",2034,0
"Greece","GRMHYDMS03",2035,0
"Greece","GRMHYDMS03",2036,0
"Greece","GRMHYDMS03",2037,0
"Greece","GRMHYDMS03",2038,0
"Greece","GRMHYDMS03",2039,0
"Greece","GRMHYDMS03",2040,0
"Greece","GRMHYDMS03",2041,0
"Greece","GRMHYDMS03",2042,0
"Greece","GRMHYDMS03",2043,0
"Greece","GRMHYDMS03",2044,0
"Greece","GRMHYDMS03",2045,0
"Greece","GRMHYDMS03",2046,0
"Greece","GRMHYDMS03",2047,0
"Greece","GRMHYDMS03",2048,0
"Greece","GRMHYDMS03",2049,0
"Greece","GRMHYDMS03",2050,0
"Greece","GRMNGCCP00",2019,0
"Greece","GRMNGCCP00",2020,0.31
"Greece","GRMNGCCP00",2021,0.31
"Greece","GRMNGCCP00",2022,0.31
"Greece","GRMNGCCP00",2023,0.31
"Greece","GRMNGCCP00",2024,0.31
"Greece","GRMNGCCP00",2025,0.31
"Greece","GRMNGCCP00",2026,0.31
"Greece","GRMNGCCP00",2027,0.31
"Greece","GRMNGCCP00",2028,0.31
"Greece","GRMNGCCP00",2029,0.31
"Greece","GRMNGCCP00",2030,0.31
"Greece","GRMNGCCP00",2031,0.31
"Greece","GRMNGCCP00",2032,0.31
"Greece","GRMNGCCP00",2033,0.31
"Greece","GRMNGCCP00",2034,0.31
"Greece","GRMNGCCP00",2035,0.31
"Greece","GRMNGCCP00",2036,0.31
"Greece","GRMNGCCP00",2037,0.31
"Greece","GRMNGCCP00",2038,0.31
"Greece","GRMNGCCP00",2039,0.31
"Greece","GRMNGCCP00",2040,0.31
"Greece","GRMNGCCP00",2041,0.31
"Greece","GRMNGCCP00",2042,0.31
"Greece","GRMNGCCP00",2043,0.31
"Greece","GRMNGCCP00",2044,0.31
"Greece","GRMNGCCP00",2045,0.31
"Greece","GRMNGCCP00",2046,0.31
"Greece","GRMNGCCP00",2047,0.31
"Greece","GRMNGCCP00",2048,0.31
"Greece","GRMNGCCP00",2049,0.31
"Greece","GRMNGCCP00",2050,0
"Greece","GRMNGGCP00",2019,0
"Greece","GRMNGGCP00",2020,0
"Greece","GRMNGGCP00",2021,0
"Greece","GRMNGGCP00",2022,0
"Greece","GRMNGGCP00",2023,0
"Greece","GRMNGGCP00",2024,0
"Greece","GRMNGGCP00",2025,0
"Greece","GRMNGGCP00",2026,0
"Greece","GRMNGGCP00",2027,0
"Greece","GRMNGGCP00",2028,0
"Greece","GRMNGGCP00",2029,0
"Greece","GRMNGGCP00",2030,0
"Greece","GRMNGGCP00",2031,0
"Greece","GRMNGGCP00",2032,0
"Greece","GRMNGGCP00",2033,0
"Greece","GRMNGGCP00",2034,0
"Greece","GRMNGGCP00",2035,0
"Greece","GRMNGGCP00",2036,0
"Greece","GRMNGGCP00",2037,0
"Greece","GRMNGGCP00",2038,0
"Greece","GRMNGGCP00",2039,0
"Greece","GRMNGGCP00",2040,0
